place,province,lat,long,violation,sanction,fine_certainty,fine_value,number_of_charges_or_violations,number_of_people,individual_business,report_month,acting_agency,legislation,known_demographic,event_desc,event_url,other_event_url
quebec,qc,52.9399,-73.5491,disobeying physical distancing ,$1000-6000 fine (likely: $1546 fine),yes,1546,651,651,individual ,apr,surete du quebec ,public health act,not specified,surete du quebec announced monday it has handed out a total of 651 tickets to people not complying with covid-19 physical distancing measures since police began handing out infractions, https://www.lapresse.ca/covid-19/202004/13/01-5269094-plus-de-700-constats-donnes-par-le-spvm.php,https://dailyhive.com/montreal/surete-du-quebec-physical-distancing-fines
"halifax, nova scotia",ns,44.6488,-63.5752,disobeying physical distancing ,$697.50 fine ,yes,697.5,66,66,individual ,apr,halifax regional police,public health act,not specified,halifax police ticket 33 people in three days for violating covid-19 directives,https://www.thechronicleherald.ca/news/local/halifax-police-ticket-33-people-in-three-days-for-violating-covid-19-directives-435956/,
"halifax, nova scotia",ns,44.6488,-63.5752,disobeying physical distancing  ,$697.50 fine ,yes,697.5,12,12,individual ,apr,halifax regional police,public health act,not specified,twitter post - halifax regional police confirm they issued dozens of covid-19 tickets on saturday,https://twitter.com/Brett_CBC/status/1246781095540142084,
"regina, saskatchewan",sk,50.4452,-104.6189,failing to comply with isolation order ,$2800.00 fine,yes,28000,1,1,individual ,mar,regina police service ,public health act,woman,covid-19 public health order violated: first ticket issued,http://reginapolice.ca/2020/04/covid-19-public-health-order-violated-first-ticket-issued/,
"hamilton, ontario ",on,43.2464,-79.9081,disobeying physical distancing ,$750 fine,yes,880,100,100,individual ,apr,"hamilton police service, bylaw officers",emergency management and civil protection act,inculdes 10 homeless people,hamilton bylaw officers have laid more than 100 charges tied to covid-19 orders,https://y108.ca/news/6887489/hamilton-bylaw-officers-covid-19-order-violations/,https://globalnews.ca/news/6851521/coronavirus-hamilton-charges-violating-provincial-orders/
"kelowna, british columbia",bc,49.888,-119.4960,spitting at police during alledged break-in,aggravated assault ,no,,1,1,individual ,apr,royal canadian mounted police,criminal code,1 man,man inside vacant home he did not own charged for allegedly spitting in cop's face during covid-19 pandemic,https://bc.ctvnews.ca/man-charged-for-allegedly-spitting-in-cop-s-face-during-covid-19-pandemic-1.4884920,
"london, ontario",on,42.9849,-81.2453,non-essential buisness,$750 fine,yes,880,2,2,business,apr,municipal law enforcement ,emergency management and civil protection act,2 pawn shops ,"2 london, ont., pawn shops charged after failing to close to slow spread of covid-19",https://globalnews.ca/news/6785418/london-pawn-shops-charged-covid-19/,
"london, ontario",on,42.9849,-81.2453,disobeying physical distancing,$880 fine,yes,880,21,21,individual ,apr,municipal law enforcement ,emergency management and civil protection act,21 people ,"21 people fined in london, ont., related to covid-19- inculding skateboarders ",https://www.cbc.ca/news/canada/london/21-londoners-fined-for-breaking-emergency-measures-rules-1.5523036?__vfz=medium%3Dsharebar,
"flin flon, manitoba",mb,54.7658,-101.8762,coughing police and claiming to have covid-19 ,"assaulting a police officer, uttering threats",no,,2,1,individual ,apr,royal canadian mounted police,criminal code,"16-old man, carrying knife",teen arrested after officer threatened with covid-19: rcmp ,https://winnipeg.ctvnews.ca/teen-arrested-after-officer-threatened-with-covid-19-rcmp-1.4885152,
"montreal, quebec ",qc,45.5017,-73.6682,attacking security guard enforcing social distancing ,"criminal negligence causing bodily harm, assault with a weapon, aggravated assault and failure to stop after an accident",no,,3,1,individual ,apr,service de police de la ville de montreal,criminal code,1 man,suspect charged in attack against quebec security guard enforcing covid-19 rule,https://nationalpost.com/pmn/news-pmn/canada-news-pmn/suspect-charged-in-attack-against-quebec-security-guard-enforcing-covid-19-rules,
"kitchener, ontario",on,43.4516,-80.4925,non-essential business ê,$750 fine,yes,880,1,1,business,apr,waterloo regional police,emergency management and civil protection act,not specified,report covid-19 'rule-breakers': region of waterloo,https://www.kitchenertoday.com/local-news/report-covid-19-rule-breakers-region-of-waterloo-2233601,
"toronto, ontario ",on,43.6532,-79.3832,non-essential business,$750 fine ,yes,880,11,11,business,apr,toronto police services,emergency management and civil protection act,not specified,"city ramps up enforcement blitz at parks as toronto reaches 1,000 cases of covid-19",https://www.cp24.com/news/city-ramps-up-enforcement-blitz-at-parks-as-toronto-reaches-1-000-cases-of-covid-19-1.4882749,
"cape breton, nova scotia",ns,46.2487,-60.8518,"disobeying physical distancing, failing to comply with the health protection act ","$582.50-$1,000",yes,582.5,98,98,individual ,apr/may,cape breton regional police,health protection act,"not specified, 2 teenagers in car from different addresses,  residential social gatherings ",cape breton regional police issue nearly 100 tickets for isolation and distancing violations,https://www.capebretonpost.com/news/local/cape-breton-regional-police-issue-nearly-100-tickets-for-isolation-and-distancing-violations-445195/,https://www.capebretonpost.com/news/local/cape-breton-police-issue-16-fines-under-covid-19-pandemic-orders-436250/
"caraquet, new brunswick",ns,47.7897,-64.9628,disobeying physical distancing,$292 fine ,yes,292,1,1,individual ,apr,royal canadian mounted police,health protection act,2 people in car driving from differetn addresses ,ticket for not social distancing - 292$ - education over enforcement: what to expect under new physical distancing rules,https://www.cbc.ca/news/canada/new-brunswick/physical-distancing-enforcement-rcmp-1.5522736,
"aylmer, ontario",on,42.7729,-80.9829,failure to self-quarantine after travel ,$750 fine ,yes,880,1,1,individual ,mar,aylmer police,emergency management and civil protection act,1 man,aylmer police ticketed a man for failing to self-quarantine after returning from ecuador,https://lfpress.com/news/local-news/traveller-72-charged-with-not-self-isolating-in-pandemic-hammered-sarnia-police,
"sarnia, ontario",on,42.9745,-82.4066,failure to self-quarantine after travel ,$750 fine,yes,880,1,1,individual ,mar,sarnia police service,emergency management and civil protection act,1 man,"traveller, 72, charged with not self-isolating in pandemic-pounded sarnia, police say",https://lfpress.com/news/local-news/traveller-72-charged-with-not-self-isolating-in-pandemic-hammered-sarnia-police,
"wetaskiwin, alberta",ab,52.9688,-113.3661,coughing police and claiming to have covid-19 ,"charged with failing to comply , assaulting a police officer, mischief, failure to comply with public health act",no,,4,1,individual ,apr,royal canadian mounted police,"criminal code, public health act ",1 man ,"wetaskiwin man coughs on police, says he has covid-19",https://www.reddeeradvocate.com/news/central-alberta-man-with-covid-19-intentionally-coughs-in-police-officers-face/,
"halifax, nova scotia",ns,44.6488,-63.5752,violations against the health protection act and emergency management act - 697.50.,$1000 fine,yes,1000,132,132,individual ,apr,halifax regional police,public health act,not specified,n.s. police hand out dozens of covid-19 tickets,https://www.halifaxtoday.ca/coronavirus-covid-19-local-news/hrp-hand-out-13-more-tickets-for-covid-19-violations-2267681,https://atlantic.ctvnews.ca/halifax-police-issue-39-tickets-for-violating-orders-related-to-covid-19-1.4884239
"halifax, nova scotia",ns,44.6488,-63.5752,violations against the health protection act,$1000 fine,yes,1000,6,6,individual,apr,halifax regional police,emergency management act,6 people ,47 tickets related to covid-19 since the state of emergency was declared,https://atlantic.ctvnews.ca/halifax-police-issue-39-tickets-for-violating-orders-related-to-covid-19-1.4884239,
"taber, alberta ",ab,49.7818,-112.1497,licking food in grocery store,"mischief under $5,000",no,,1,1,individual,apr,taber police service ,criminal code,"man, 20 years old",taber man arrested after licking food in store as part of covid-19 prank,https://lethbridgenewsnow.com/2020/04/07/taber-man-arrested-after-licking-food-in-store-as-part-of-covid-19-prank/,
"calgary, alberta ",ab,51.0447,-114.0719,"violating gathering of more than 10 people, self-isolation order",$1200 fine,yes,1200,13,13,individual,apr,calgary police service,health protection act,"1 man, 1 38-year-old woman tested covid-positive, not specificed  ",calgary police issue 13 tickets related to covid-19 safety violations,https://www.theglobeandmail.com/canada/alberta/article-albertas-chief-health-officer-says-covid-19-compliance-high-only-a/,https://www.theglobeandmail.com/canada/alberta/article-albertas-chief-health-officer-says-covid-19-compliance-high-only-a/
"stratford, ontario",on,43.37,-80.9822,coughing on lcbo employee  ,assault,no,,1,1,individual,mar,stratford police service ,criminal code,1 man,stratford police investigating alleged covid-19 coughing incident as an assault,https://globalnews.ca/news/6793781/stratford-covid-19-cough-assault-lcbo/,
"mississauga, ontario ",on,43.589,-79.6441,disobeying physical distancing,$750 fine,yes,880,2,2,individual,apr,peel region police,emergency management and civil protection act,2 skateboarders ,mississauga skateboarders issued first tickets for violating covid-19 emergency park closure,https://www.thestar.com/news/gta/2020/04/07/mississauga-skateboarders-issued-first-tickets-for-violating-covid-19-emergency-park-closure.html,
nova scotia,ns,44.682,-63.7443,disobeying physical distancing,$697.50 tickets,yes,697.5,98,96,individual,apr,royal canadian mounted police,health protection act,76 people ,n.s. rcmp have now charged 98 people as part of covid-19 crackdown,https://www.thechronicleherald.ca/news/local/halifax-police-ticket-33-people-in-three-days-for-violating-covid-19-directives-435956/,https://globalnews.ca/news/6832536/covid-19-tickets-halifax/
"new westminster, british columbia",bc,49.2057,-122.911,coughing on transit employee and claiming to have covid-19 ,"assaulting a police officer, uttering threats",no,,2,1,individual,mar,metro vancouver transit police,criminal code,"1 man, threatening with knife ",two transit police self-isolate after man coughs on them during arrest in new west,https://www.citynews1130.com/2020/03/22/transit-police-arrest-cough-covid-19/,
"victoria, british columbia ",bc,48.4284,-123.3656,"false claim of having covid-19 to stay in air bnb longer, theft ",fraud ,no,,2,2,individual,mar,victoria police department,criminal code,"2 men, stolen goods found",victoria police arrest men in alleged covid-19 airbnb scam,https://vancouverisland.ctvnews.ca/victoria-police-arrest-men-in-alleged-covid-19-airbnb-scam-1.4876015,
"brampton, ontario",on,43.7315,-79.7624,false claim of covid-19 positive test ,public mischief,no,,1,1,individual,mar,peel region police,criminal code,39-year-old man,peel cops arrest man over fake covid-19 contact claim,https://torontosun.com/news/local-news/peel-cops-arrest-man-over-fake-covid-19-contact-claim,
"hamilton, ontario ",on,43.2557,-79.8711,"disobeying park closure order, disobeying physical distancingê",$750 fine,yes,880,19,19,individual,apr,by-law officers,emergency management and civil protection act,19 people ,"hamilton bylaw hands out 19 tickets for people caught at waterfalls, golf course and escarpment stairs",https://www.thespec.com/news/hamilton-region/2020/04/04/photos-albion-falls-spencer-gorge-quiet-but-bylaw-on-the-prowl-for-social-distancing-defiers.html,
"corner brook, newfoundland ",nf,48.949,-57.9503,second violation of disobeying 14-day self-isolation quarantine order after arriving from out of province,"in custody, possible fine of $500 and $2,500, or a jail sentence of up-to six months",maybe,,1,1,individual,mar,royal newfoundland constabulary,public health protection and promotion act,"1 woman, 
53-year-old ",woman arrested for the second time after allegedly not self-isolating in n.l.,Êhttps://globalnews.ca/news/6736892/n-l-woman-arrested-for-not-self-isolating-nl/Ê,
"wingham, ontario",on,43.8879,-81.3117,coughing police during an arrest,"domestic assault, domestic mischief, assaulting a peace officer ",no,,3,1,individual,apr,huron county ontario provincial police ,criminal code,1 man,wingham man faces three charges after someone intentionally coughed on a police officer during an arrest,https://lfpress.com/news/local-news/covid-19-wingham-man-charged-after-police-officer-coughed-on,
"montreal, quebec ",qc,45.5237,-73.5521,disobeying physical distancing,$1546 fine ,yes,1546,5,5,individual,apr,service de police de la ville de montreal,health protection act,5 homeless youth ,des contraventions donnees aux jeunes sans-abris,https://www.lapresse.ca/covid-19/202004/11/01-5268959-des-contraventions-donnees-aux-jeunes-sans-abris.php?utm_source=facebook&utm_medium=social&utm_campaign=algofb&fbclid=IwAR3bF-b1axko16Acx97ICfZ4nj9d-5et6wzAff8I_XxylnyM-eDQ_LjX0E8,
"armstrong, british columbia ",bc,50.4477,-119.197,non-essential buisness,$345 fine,yes,345,1,1,business,apr,interior health authority ,health protection act,gym ,"armstrong, b.c. fitness centre fined for remaining open during covid-19 pandemic",https://globalnews.ca/news/6797800/armstrong-fitness-centre-fined-covid-19/,
"coquitlam, british columbia",bc,49.2838,-122.7932,coughing on police after alleged break-in,"assaulting a police officer, break and enter, theft under $5000",no,,3,1,individual,apr,coquitlam royal canadian mounted police ,criminal code,"man, 24-year-old",b&e suspect charged with assault after intentionally coughing on cops while sick: rcmp,https://bc.ctvnews.ca/b-e-suspect-charged-with-assault-after-intentionally-coughing-on-cops-while-sick-rcmp-1.4888328,
"windsor, ontario",on,42.3149,-83.0364,disobeying physical distancing,$750 fine,yes,880,1,1,individual,apr,windsor police service,emergency management and civil protection act,not specificed ,windsor police issue first ticket for covid-19 infraction,https://windsorstar.com/news/local-news/windsor-police-issue-first-ticket-for-covid-19/,
peterborough,on,44.3091,-78.3197,"disobeying park closure order, disobeying physical distancingê",$750 fine,yes,880,8,8,individual,apr,peterborough police service,emergency management and civil protection act,8 baskeball players,peterborough basketball player fined for too many players on court,https://www.thepeterboroughexaminer.com/news-story/9923390-peterborough-basketball-player-fined-for-too-many-players-on-court/,
"cambridge, ontario ",on,43.3616,-80.3144,coughing on another person ,"assault, common nuisance, endangering life",no,,3,1,individual,mar,waterloo regional police service,criminal code,42 year old woman,cambridge woman charged with assault for coughing on elderly person in starbucks drive-thru: wrps,https://www.cbc.ca/news/canada/kitchener-waterloo/starbucks-cambridge-drive-thru-coughing-1.5530260,
"mayerthorpe, alberta",ab,53.9548,-115.1423,coughing police during an arrest,"assault on a police officer, resisting arrest, mischief under $5,000 
assault on a police officer and four counts of mischief under $5,000.",no,,6,2,individual,apr,royal canadian mounted police,criminal code,"man 20, woman 35 ",2 people displaying covid-19 symptoms charged after allegedly coughing on police officers in mayerthorpe,https://edmonton.ctvnews.ca/2-people-displaying-covid-19-symptoms-charged-after-allegedly-coughing-on-police-officers-in-mayerthorpe-1.4893200,
"edmonton, alberta",ab,53.5461,-113.4938,coughing on transit employee and claiming to have covid-19 ,"assault of a peace officer, individual contravening an order of the chief medical officerêunder the public health act",no,,2,1,individual,apr,"transit peace officers, edmonton police services ","criminal code, public health act ",38-year-old man,male facing charges under the public health actfollowing coughing incident with ets bus driver,https://www.edmontonpolice.ca/News/MediaReleases/covidchargesonets,https://www.cbc.ca/news/canada/edmonton/coughing-on-cops-suspects-accused-of-weaponizing-covid-19-against-police-1.5532394
"cochrane, alberta ",ab,51.1918,-114.4667,disobeying physical distancing,"$1,200 fine",yes,1200,2,2,individual,apr,royal canadian mounted police,emergency management act,"2 teenagers in car from different addresses,  residential social gatherings,  ","cochrane rcmp drop $1,200 tickets for not social distancing; say carpooling is still ok",https://calgaryherald.com/news/local-news/cochrane-rcmp-drop-1200-tickets-for-not-social-distancing-say-carpooling-is-still-ok/,
"calgary, alberta",ab,51.0447,-114.0719,non-essential buisness,not specified ,maybe,,5,5,business,apr,calgary police service,emergency management act,not specified,five businesses in the city have also received orders from alberta health services to lock their doors but have ignored the closure orders from the province,https://www.660citynews.com/2020/04/03/just-one-covid-19-self-isolation-fine-issued-calgary-police/,
"regina, saskatchewan",sk,50.4452,-104.6189,threatening to cough on police officer during arrest ,"possession of stolen property under $5,000, theft of motor vehicle, operating a conveyance in a manner dangerous to the public, uttering threats and assaulting a peace officer.",no,,5,1,individual,apr,regina police service,criminal code,30-year-old man,"man charged after saying he had covid-19, threatening to cough on police officers",https://regina.ctvnews.ca/man-charged-after-saying-he-had-covid-19-threatening-to-cough-on-police-officers-1.4896231,
"mississauga, ontario",on,43.589,-79.6441,disobeying physical distancing,$750 fine,yes,880,14,14,individual,apr,peel region police,emergency management and civil protection act,not specified,heres how many social distancing fines mississauga has issued amid covid-19 outbreak,https://www.insauga.com/heres-how-many-social-distancing-fines-mississauga-has-issued-amid-covid-19-outbreak,
"oak bay, british columbia",bc,48.4265,-123.3141,"lying about covid-19 infection, stealing yatch",not specified ,no,,1,1,individual,apr,oak bay police department ,criminal code,25-year-old man,prolific offender claiming to have covid-19 arrested on stolen yacht,https://www.cbc.ca/news/canada/british-columbia/prolific-offender-claiming-to-have-covd-19-arrested-on-stolen-yacht-1.5531043,
"barrie, ontario",on,44.3894,-79.6903,"gathering of more than 5 people, violating social distancing ",$750 fine,yes,880,1,1,individual,apr,barrie police ,emergency management and civil protection act,45 year old woman,"woman charged after hosting birthday party in barrie, ont.",https://globalnews.ca/news/6823482/coronavirus-charge-barrie-birthday-party-covid-19/,
"guelph, ontario",on,43.5448,-80.2482,coughing on another person ,"common nuisance, breach of probation",no,,2,1,individual,apr,guelph police service,criminal code,"24-year-old, man","now you have coronavirus': guelph man arrested for coughing on women, say police",https://www.guelphmercury.com/news-story/9941324--now-you-have-coronavirus-guelph-man-arrested-for-coughing-on-women-say-police/,
"coquitlam, british columbia",bc,49.2838,-122.7932,coughing on another person ,"arrested, investigated for charges",no,,0,1,individual,apr,royal canadian mounted police,criminal code,"25-year-old, woman",b.c. woman arrested after allegedly coughing at store clerk for not letting her buy tissues,https://bc.ctvnews.ca/b-c-woman-arrested-after-allegedly-coughing-at-store-clerk-for-not-letting-her-buy-tissues-1.4897625,
"saguenay, quebec",qc,48.4281,-71.0685,failing to self-isolate after travel from within province  ,$1500 fine,yes,1500,1,1,individual,apr,saguenay police service,public health act,man,un premier constat dinfraction relatif au confinement  saguenay,https://www.lequotidien.com/actualites/un-premier-constat-dinfraction-relatif-au-confinement-a-saguenay-faed4ce8dac8104ab800f99bc7344620,
"chateauguay, quebec",qc,45.3602,-73.7494,disobeying physical distancing,$1546 fine,yes,1546,20,20,individual,apr,chateauguay police,public health act,not specified,la police de chateauguay a remis plus de 20 constats dinfraction,https://www.cybersoleil.com/covid-19-la-police-de-chateauguay-a-remis-plus-de-20-constats-dinfraction/,
